,img_path,label
0,test/0.png,0
1,test/1.png,0
2,test/10.png,0
3,test/100.png,0
4,test/1000.png,0
5,test/1001.png,0
6,test/1002.png,0
7,test/1003.png,0
8,test/1004.png,0
9,test/1005.png,0
10,test/1006.png,1
11,test/1007.png,1
12,test/1008.png,0
13,test/1009.png,1
14,test/101.png,0
15,test/1010.png,0
16,test/1011.png,0
17,test/1012.png,0
18,test/1013.png,0
19,test/1014.png,0
20,test/1015.png,1
21,test/1016.png,0
22,test/1017.png,0
23,test/1018.png,0
24,test/1019.png,0
25,test/102.png,0
26,test/1020.png,1
27,test/1021.png,0
28,test/1022.png,0
29,test/1023.png,0
30,test/1024.png,0
31,test/1025.png,0
32,test/1026.png,0
33,test/1027.png,0
34,test/1028.png,0
35,test/1029.png,0
36,test/103.png,0
37,test/1030.png,0
38,test/1031.png,0
39,test/1032.png,0
40,test/1033.png,0
41,test/1034.png,0
42,test/1035.png,1
43,test/1036.png,1
44,test/1037.png,0
45,test/1038.png,0
46,test/1039.png,1
47,test/104.png,0
48,test/1040.png,0
49,test/1041.png,0
50,test/1042.png,1
51,test/1043.png,0
52,test/1044.png,0
53,test/1045.png,0
54,test/1046.png,0
55,test/1047.png,0
56,test/1048.png,0
57,test/1049.png,0
58,test/105.png,0
59,test/1050.png,0
60,test/1051.png,0
61,test/1052.png,0
62,test/1053.png,0
63,test/1054.png,0
64,test/1055.png,0
65,test/1056.png,1
66,test/1057.png,1
67,test/1058.png,0
68,test/1059.png,0
69,test/106.png,0
70,test/1060.png,0
71,test/1061.png,0
72,test/1062.png,0
73,test/1063.png,0
74,test/1064.png,0
75,test/1065.png,0
76,test/1066.png,0
77,test/1067.png,0
78,test/1068.png,0
79,test/1069.png,1
80,test/107.png,0
81,test/1070.png,0
82,test/1071.png,0
83,test/1072.png,0
84,test/1073.png,0
85,test/1074.png,0
86,test/1075.png,0
87,test/1076.png,0
88,test/1077.png,0
89,test/1078.png,0
90,test/1079.png,0
91,test/108.png,0
92,test/1080.png,1
93,test/1081.png,0
94,test/1082.png,1
95,test/1083.png,1
96,test/1084.png,0
97,test/1085.png,0
98,test/1086.png,0
99,test/1087.png,0
100,test/1088.png,0
101,test/1089.png,0
102,test/109.png,0
103,test/1090.png,0
104,test/1091.png,0
105,test/1092.png,0
106,test/1093.png,0
107,test/1094.png,0
108,test/1095.png,0
109,test/1096.png,0
110,test/1097.png,1
111,test/1098.png,0
112,test/1099.png,0
113,test/11.png,0
114,test/110.png,0
115,test/1100.png,0
116,test/1101.png,0
117,test/1102.png,0
118,test/1103.png,0
119,test/1104.png,0
120,test/1105.png,0
121,test/1106.png,1
122,test/1107.png,1
123,test/1108.png,1
124,test/1109.png,0
125,test/111.png,0
126,test/1110.png,0
127,test/1111.png,0
128,test/1112.png,0
129,test/1113.png,0
130,test/1114.png,0
